Folder,Name,Num,threshold,num_regions,est_len,MeanInt-2,avgWidth-2,stdInt-2,perct95-2,medianInt-2,sumInt-2,MeanInt-9,avgWidth-9,stdInt-9,perct95-9,medianInt-9,sumInt-9,aspect_ratio,intRatio2-9,tipWidthRatio,BodMeanInt,BodAvgWidth,BodStdInt,BodPerct95,BodMedianInt,BodSumInt,BKMeanInt
BC221_18,221_18_1_Snapshot1,1,8.0,2,1567,2959.1103993166776,85,987.992744849042,4858.0,2858.0,27715028,4357.758620689655,68,1579.6534412075746,6463.599999999999,4684.0,32983875,23.044117647058822,1.4657156255549,0.7647058823529411,3718.1371488603663,91,1688.7858429233802,6940.0,3533.0,407005883,1.0
BC221_18,221_18_1_Snapshot10,10,10.0,1,1031,5395.68676878543,82,1957.779222723558,8173.0,5309.0,44735639,4298.335142036387,105,1546.7632788305557,7051.0,4144.0,40400052,9.81904761904762,0.8035144032875258,0.6666666666666666,5010.642657125078,108,1563.2331780722216,7571.0,5009.0,450917754,1.0
BC221_18,221_18_1_Snapshot100,100,10.0,1,901,5210.152505446623,103,1145.5714432736395,6898.049999999999,5309.0,47829200,3298.747220405494,44,1040.2134279419881,5003.15,3241.0,10087569,9.01,0.9254082089687101,2.272727272727273,5355.179984031835,103,1844.4921952526702,9001.0,5224.0,422561187,1.0
BC221_18,221_18_1_Snapshot11,11,10.0,3,1401,3441.6721311475408,85,768.078722299711,4413.0,3661.0,25193040,7687.197401256346,93,2719.949802301975,10780.0,8552.0,89332921,15.064516129032258,1.808773867729099,0.6559139784946236,4345.656717097652,97,2224.3425492260226,9417.0,3978.0,477096614,1.0
BC221_18,221_18_1_Snapshot12,12,10.0,1,964,4509.197289007619,106,904.200310279038,5820.0,4539.0,45574457,2956.4881767268203,43,779.1096675080977,4260.35,2914.0,9502153,9.09433962264151,1.00772757906756,2.4651162790697674,5060.197973676962,106,1830.7191646792248,8509.0,4745.0,422531591,1.0
BC221_18,221_18_1_Snapshot13,13,8.0,1,1569,3549.641138855055,93,1337.8607925256147,5365.0,3905.0,46628086,5813.867582914986,95,2089.667416860566,8744.5,5952.0,70644305,16.51578947368421,0.6061271484609999,0.8631578947368421,3850.5777708129285,102,1668.1669729919963,7164.0,3801.0,491429988,1.0
BC221_18,221_18_1_Snapshot14,14,9.0,2,1708,4550.948717948718,82,2311.5779870619895,7776.0,4866.0,62297937,2538.8081146473105,50,703.8866703251973,3785.0,2450.0,13641016,20.829268292682926,0.6912473233742031,1.64,3892.9265791307653,96,1846.3462385844668,7147.0,3709.0,491567625,1.0
BC221_18,221_18_1_Snapshot15,15,9.0,1,1597,2846.8774987186057,86,1131.0020034420588,4678.0,2497.0,27771290,3214.6760271947974,54,1185.6769502297745,5195.0,3105.0,21750498,29.574074074074073,2.107158605534939,1.0,3738.709574401094,89,1900.7508750840757,7778.0,3408.0,415598695,1.0
BC221_18,221_18_1_Snapshot16,16,7.0,1,1595,3035.5945071422934,81,1260.5215917778442,4961.5,2914.0,38464018,2253.3818897637793,47,591.5214092763459,3149.3499999999995,2285.0,12019539,11.992481203007518,0.645488926744999,2.8297872340425534,3267.0610001220653,143,1471.8258388437303,5990.0,3076.0,401472791,1.0
BC221_18,221_18_1_Snapshot17,17,8.0,1,1752,4157.798927613941,88,1709.1650301389898,6695.3499999999985,4569.0,58932642,2284.4138536585365,47,489.5235204925226,3054.4000000000005,2311.0,11707621,25.02857142857143,0.6688520859541103,1.4893617021276595,3503.2496961670304,95,1616.4752387064602,6555.0,3305.0,449677131,1.0
BC221_18,221_18_1_Snapshot18,18,4.0,1,1137,1704.2493188010899,84,472.6788955107264,2503.3499999999995,1580.0,13760109,1888.3272105937633,51,803.1677531550366,3204.0,1797.0,8841148,14.960526315789474,1.345045638196272,1.4901960784313726,2164.2762607218333,93,865.0815546902329,3450.0999999999913,2119.0,156691437,1.0
BC221_18,221_18_1_Snapshot19,19,8.0,1,1738,2900.8385693262526,92,1354.142630588775,5394.5999999999985,2421.0,45337206,3386.032506069598,58,1265.778565765511,5701.049999999998,3292.0,25104045,25.18840579710145,1.7418150062282198,1.1896551724137931,3603.051182004271,102,1808.5015188921263,7064.0,3168.0,487568489,1.0
BC221_18,221_18_1_Snapshot2,2,11.0,1,948,4454.404694455686,104,903.2818512035414,5811.85,4556.0,44027336,2967.527950310559,37,666.5421770427066,4026.2,2946.0,6211036,9.028571428571428,1.060877006066691,2.8378378378378377,5679.312897344241,106,1865.7614783820416,8820.0,5617.0,473461599,1.0
BC221_18,221_18_1_Snapshot20,20,10.0,1,1642,3756.2893721240907,84,1806.3334602848256,6637.3499999999985,3145.0,50612243,2965.7436758450863,42,857.3940251303765,4481.0,2871.0,13247977,24.87878787878788,0.7880623664116904,1.5714285714285714,4203.058290037748,98,1893.5163636462878,7371.0,4059.0,508851658,1.0
BC221_18,221_18_1_Snapshot21,21,4.0,1,406,1999.8180054326735,93,830.649757977824,3593.0,1795.0,5153531,1283.4842105263158,57,391.0197526731986,1997.3999999999999,1218.0,2316689,7.12280701754386,1.1306743503911627,0.5087719298245614,2025.904394644936,100,968.8318211860197,3930.9499999999935,1822.0,55688060,1.0
BC221_18,221_18_1_Snapshot22,22,8.0,1,1616,2435.8852919438286,87,980.4350942218213,4195.0,2108.5,32957528,3063.334710111672,53,1024.624466266694,4682.0,3051.0,20025019,23.085714285714285,1.859574864479298,1.320754716981132,3544.216683438464,97,1714.6019984555262,6962.0,3280.0,433206061,1.0
